,modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
1312,text,Out,14,24,counts,9,LR,up,0.6181004372981626,0.08163957665790715,0.566969696969697,0.07133331486903502,0.6627723299157877,0.0739984218583277,0.5894999999999997,0.11465693228589414,0.5323076923076924,0.14030542944507662,0.5609038461538464,0.07267045125966225
1313,call,In,14,6,average_length,15,LR,up,0.6180539631323939,0.059627860549536275,0.5803278688524588,0.057453878965925326,0.6478381312053121,0.06007816209233311,0.5965714285714284,0.08384493545469382,0.5584615384615386,0.1055056049217017,0.5775164835164833,0.05900535915579987
1314,call,In,14,6,combined,11,RFC,up,0.6180269801720106,0.06037838661785281,0.5644262295081964,0.057936383760892725,0.6217652103853727,0.053133499212912605,0.6197142857142858,0.0887574270092899,0.4899999999999997,0.10381233441648816,0.5548571428571427,0.0586718517284339
1315,text,Out,14,24,counts,13,RFC,up,0.6179728749899862,0.07882899443133765,0.5293939393939395,0.07829600884328919,0.6064688899481638,0.06257423646763484,0.639,0.12072591881923067,0.3607692307692307,0.14656222339552294,0.4998846153846154,0.0796030905379338
1316,text,Out,14,24,unique_contacts,10,KNN,down,0.6179592594406179,0.08320759374228794,0.5651515151515153,0.07793027636262055,0.6603591189601891,0.07717067036803553,0.591,0.11664068974869148,0.5253846153846154,0.14630099328012053,0.5581923076923077,0.0800041557255449
1317,text,Out,14,12,unique_contacts,5,RFC,up,0.6179250366760949,0.07617751976208544,0.5390909090909092,0.0757477802054012,0.6198306694335165,0.06466048998336632,0.6235000000000002,0.10765052885906487,0.4092307692307691,0.14039060242047105,0.5163653846153845,0.07856612343116554
1318,text,In,14,12,counts,12,SVC,up,0.6178519870560261,0.0498038580988961,0.5536458333333334,0.0410405129817852,0.6050741955380503,0.03187337074503492,0.6363636363636361,0.08694766521026498,0.4426829268292682,0.08373122610162577,0.5395232815964522,0.0390091723248417
1319,text,Out,14,24,combined,14,RFC,down,0.6178507576132155,0.0832195132303551,0.5639393939393941,0.07383793789019154,0.6582599470038594,0.07523378502683394,0.5934999999999999,0.11905668796625808,0.5184615384615383,0.1567785796627253,0.5559807692307692,0.07714609037828085
1320,text,Out,14,6,average_length,10,KNN,up,0.6177945226311963,0.07211139325652548,0.5681818181818183,0.06882918869779057,0.6660165970603781,0.06761000901392238,0.5829999999999999,0.09697963964178516,0.5453846153846154,0.12374285653347335,0.5641923076923079,0.07095368642373648
1321,call,In,14,6,combined,15,RFC,up,0.6176544516507136,0.0605489818555478,0.5611475409836064,0.05861647169368045,0.6174381768544013,0.05271609211375426,0.6234285714285714,0.08946852857076397,0.4773076923076922,0.1064383370705798,0.550368131868132,0.05956460371101036
1322,text,Out,14,4,unique_contacts,6,RFC,up,0.6176364046227641,0.08650621264202214,0.5484848484848485,0.0806357206812083,0.6308414718636379,0.06688867157875883,0.6144999999999998,0.12518572061726788,0.4469230769230766,0.13773225883583434,0.5307115384615385,0.07974170421398663
1323,text,Out,14,12,combined,12,KNN,down,0.6176152250273418,0.08391373569980863,0.5663636363636365,0.07368704019425541,0.6609598824340884,0.07212336260181082,0.5894999999999999,0.11662228593093847,0.5307692307692308,0.13980185265616646,0.5601346153846155,0.07459814792619379
1324,text,Out,14,12,combined,11,RFC,down,0.617592426663699,0.09523825255434236,0.5703030303030302,0.0818776779224391,0.6660202953781831,0.07975562055803566,0.5880000000000001,0.1324058651696107,0.543076923076923,0.1462049556895961,0.5655384615384618,0.08080977263485077
1325,text,Out,14,24,counts,11,RFC,up,0.6175213632260121,0.07492142654647559,0.5339393939393942,0.07344559047789011,0.6126151114611489,0.05868074636486969,0.6310000000000002,0.11520293907586372,0.3846153846153844,0.13872891390551526,0.5078076923076922,0.07447032696149973
1326,text,In,14,4,unique_contacts,8,RFC,up,0.6175210711922524,0.04782794381163146,0.5435416666666665,0.0442531592270119,0.5927453171722766,0.033444779771311474,0.6478181818181816,0.07668980149424359,0.4036585365853659,0.07208482215609413,0.5257383592017739,0.04277265642944753
1327,text,All,14,24,counts,15,RFC,up,0.6174761231464038,0.048473885431675766,0.5412244897959186,0.04984040512082799,0.5989194062310877,0.03882126776159818,0.6401754385964914,0.07242088057214498,0.4036585365853657,0.08125460623371954,0.5219169875909286,0.050037259095270716
1328,text,In,14,12,counts,11,RFC,up,0.6173662759342065,0.04519800501102426,0.5433333333333333,0.04406303355337587,0.5932634455725126,0.03460933515209886,0.6469090909090908,0.07259768068382888,0.4043902439024391,0.08131411568921926,0.525649667405765,0.044210726823318884
1329,call,In,14,6,combined,8,RFC,up,0.6173170453466029,0.059929811466015365,0.5614754098360657,0.0605984253250768,0.6180286556321755,0.0532067136184753,0.6208571428571429,0.08350742483193592,0.4815384615384618,0.09937946250903787,0.5511978021978023,0.061524901182636975
1330,call,In,14,24,counts,14,LR,up,0.6173151181292748,0.05760640947480983,0.5836065573770491,0.052568605518571995,0.6529033771598337,0.052210648634182025,0.5902857142857143,0.08073257655834427,0.5746153846153846,0.09370542392526787,0.5824505494505495,0.05315440572960787
1331,text,Out,14,24,combined,1,KNN,down,0.6172873550792177,0.09042581868259927,0.577878787878788,0.07719841941125452,0.6850045275053687,0.08520475493057919,0.5744999999999999,0.11902274631940794,0.5830769230769229,0.15313745079403088,0.5787884615384616,0.07990830197945999
1332,call,In,14,6,counts,13,RFC,up,0.6172288785325871,0.06001483305658205,0.5588524590163935,0.05862758531346584,0.6143648733691659,0.051912159823539535,0.6251428571428572,0.08731360274129814,0.4696153846153846,0.10562096693265337,0.547379120879121,0.059758667539515524
1333,text,Out,14,12,unique_contacts,11,SVC,down,0.6172096308706098,0.09618898520418324,0.5906060606060606,0.0771070503437581,0.7108559068853252,0.08914201793079549,0.562,0.1374589011121124,0.6346153846153845,0.1684502023838588,0.5983076923076924,0.0785170324951693
1334,text,Out,14,4,combined,15,LR,down,0.6171075171557397,0.09849338954028856,0.5724242424242426,0.08656008995541736,0.6706855125386418,0.08745351038381642,0.5814999999999999,0.12302069301174867,0.5584615384615386,0.14693896186558358,0.5699807692307692,0.08773599245534074
1335,text,Out,14,24,average_length,3,RFC,down,0.6171031866207514,0.08712142474431547,0.5742424242424243,0.0745231538334344,0.6740734308354783,0.07225080195571826,0.5779999999999998,0.11597631245433287,0.5684615384615385,0.12021487744580145,0.5732307692307692,0.07258950851300636
1336,text,Out,14,4,counts,11,LR,down,0.6170864615123721,0.09451740695784618,0.5745454545454546,0.07715815822308507,0.6746163092788818,0.08446497431295574,0.5789999999999998,0.11874342087037915,0.5676923076923076,0.14821875869922435,0.5733461538461537,0.07910796640323252
1337,text,Out,14,24,unique_contacts,15,KNN,down,0.6170572965476866,0.08259660932063109,0.5618181818181821,0.0808562758024101,0.6555410801728745,0.07750646486543508,0.5920000000000001,0.11342242487553535,0.5153846153846153,0.14401369315751505,0.5536923076923075,0.08323899986161455
1338,text,Out,14,24,combined,15,KNN,up,0.617016922566646,0.08372845535512619,0.5296969696969697,0.08630091859173297,0.6069663365047373,0.07074075728973052,0.6350000000000001,0.1207091838706031,0.3676923076923076,0.14026282356226713,0.5013461538461538,0.0869411334395905
1339,text,Out,14,12,combined,8,KNN,down,0.6169713030799066,0.08079631638727093,0.5793939393939396,0.0674550594548164,0.6874424616775069,0.07387954982580129,0.5705,0.11261245782135144,0.5930769230769232,0.1384248418953207,0.5817884615384616,0.06880451039639462
1340,call,In,14,6,combined,14,LR,up,0.6169638426140736,0.056594581945652735,0.5914754098360655,0.04634891958928082,0.6676892298700065,0.05049540952374757,0.5794285714285716,0.0827361409342833,0.6076923076923081,0.09500085721358904,0.5935604395604398,0.04673153312520137
1341,text,Out,14,4,combined,12,LR,down,0.6169597692645031,0.07639101016210906,0.570909090909091,0.0713885563509214,0.6729906059137316,0.07578005550218964,0.5789999999999998,0.1059302228885228,0.5584615384615386,0.13856509983612247,0.5687307692307695,0.07420187769858375
1342,text,All,14,6,counts,14,RFC,up,0.6169354795726129,0.043268312650285634,0.5318367346938775,0.041841385224026285,0.58786117351825,0.031202258228126695,0.6519298245614035,0.07042839399917937,0.3648780487804877,0.07279364111295103,0.5084039366709456,0.04106800610774021
