modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,4,average_length,2,LR,up,0.6008548700574405,0.08135147354599717,0.5758333333333335,0.0740588157685601,0.5710523430817548,0.07168589595349788,0.6508333333333334,0.13592545573731282,0.5008333333333331,0.15329114849367376,0.5758333333333335,0.0740588157685601
text,Out,14,4,average_length,2,LR,down,0.5990665161714394,0.07929878826931955,0.5725000000000002,0.07268210227436549,0.5696414974774109,0.07484981716045928,0.651666666666667,0.1393326244887161,0.49333333333333335,0.16568735855711536,0.5725000000000002,0.07268210227436547
text,Out,14,4,unique_contacts,10,SVC,down,0.5985077286294569,0.09010305285277838,0.5820833333333332,0.07288328961925296,0.5772814482129499,0.07636082947270974,0.6383333333333333,0.14075513837397072,0.5258333333333334,0.14296788036064187,0.5820833333333332,0.07288328961925296
text,Out,14,12,unique_contacts,1,LR,down,0.5984798636290937,0.08184637034389729,0.5600000000000002,0.06939897501321185,0.5497500849253946,0.05774558127046671,0.6708333333333333,0.14132956525692944,0.44916666666666644,0.13023278389961826,0.5600000000000002,0.06939897501321182
text,Out,14,12,average_length,15,KNN,down,0.598073915437377,0.08857328801359535,0.5750000000000001,0.08458653648709209,0.5700488074017486,0.08155694248296372,0.6416666666666667,0.13055824196677335,0.5083333333333332,0.14433756729740646,0.5750000000000001,0.08458653648709209
text,Out,14,4,unique_contacts,9,SVC,up,0.5974941210427113,0.08929394798315,0.5779166666666663,0.07220643766904011,0.5712222987281037,0.07025811458694996,0.6425000000000002,0.1437507624534506,0.5133333333333333,0.13899995559107559,0.5779166666666663,0.07220643766904011
text,Out,14,4,average_length,2,SVC,up,0.5973392747751816,0.097372207715575,0.5458333333333333,0.06660877115712112,0.5388451718130512,0.06527234312039863,0.7075,0.1980173189038236,0.3841666666666667,0.2002716309175935,0.5458333333333333,0.06660877115712113
text,Out,14,12,average_length,1,LR,up,0.5973154583795381,0.08657408017795026,0.5954166666666666,0.07260364509930575,0.5965191377250202,0.07555848767451318,0.6125000000000002,0.1310275157230084,0.5783333333333335,0.13073005746071273,0.5954166666666666,0.07260364509930577
text,Out,14,4,unique_contacts,7,SVC,up,0.5960048043865003,0.09215772122889729,0.5741666666666668,0.07410615887623276,0.5664586741517856,0.07433433907688858,0.6441666666666664,0.1454775602583455,0.5041666666666665,0.13627592577608102,0.5741666666666668,0.07410615887623277
text,Out,14,4,combined,2,LR,up,0.5959779205021056,0.0767340746604276,0.5716666666666668,0.07446027270295805,0.57120069481602,0.08129327460749433,0.6416666666666668,0.13109441770118593,0.5016666666666665,0.16833341667498017,0.5716666666666668,0.07446027270295803
text,Out,14,4,combined,2,LR,down,0.59569540919333,0.07936151600616631,0.5725000000000001,0.07316306373096033,0.5711009699794528,0.07686157262895656,0.6425,0.1392898253402671,0.5024999999999996,0.16601514068309237,0.5725,0.07316306373096033
text,Out,14,4,combined,1,LR,up,0.5946512087563635,0.08191847420616286,0.5799999999999998,0.06847300335571815,0.5761085866747631,0.06900111781583991,0.6291666666666665,0.13367748094325976,0.5308333333333333,0.1317109843158499,0.5799999999999998,0.06847300335571814
text,Out,14,12,average_length,14,KNN,down,0.5944464108400431,0.09063179592862683,0.57375,0.086807828253077,0.5706062662827368,0.08700135951409999,0.6333333333333334,0.12920806874208113,0.5141666666666664,0.14984794013511996,0.57375,0.08680782825307702
