modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,24,unique_contacts,4,KNN,up,0.5966367137547199,0.09132146891793227,0.5883333333333334,0.07682497197359063,0.5860209352481026,0.08394562084982804,0.6225,0.13886615975635314,0.5541666666666667,0.1294114927495537,0.5883333333333334,0.07682497197359063
text,Out,14,4,combined,2,LR,up,0.5964781353735835,0.0773813905528095,0.5725000000000001,0.07411562386878379,0.5713057369187401,0.07769289342585599,0.6425,0.13258152945588594,0.5024999999999997,0.16516792461646412,0.5725000000000001,0.0741156238687838
text,Out,14,4,unique_contacts,1,LR,up,0.5959121693975228,0.10587248942580485,0.5750000000000001,0.08500016504902444,0.564424645057385,0.08715798123967643,0.6441666666666667,0.15345579577524787,0.5058333333333331,0.13042654274628968,0.5750000000000001,0.08500016504902444
text,Out,14,4,unique_contacts,4,SVC,down,0.595878070711394,0.08360034151450313,0.5691666666666668,0.07589255651696108,0.5636983594321056,0.07462021711961869,0.6458333333333331,0.128322838348249,0.4925,0.14267319205316648,0.5691666666666668,0.07589255651696108
text,Out,14,12,average_length,11,KNN,up,0.5957424985467884,0.10112566692509627,0.5712499999999999,0.08849641099331708,0.5632361660956863,0.08873705299596757,0.6458333333333333,0.149059434210144,0.49666666666666665,0.13960421849883747,0.5712499999999999,0.08849641099331709
text,Out,14,6,average_length,1,LR,up,0.5956754428522896,0.08234458688631682,0.5870833333333332,0.07084323559226172,0.5889471427265545,0.07916545601435672,0.6216666666666669,0.13732452327009195,0.5524999999999999,0.15382104765792415,0.5870833333333332,0.0708432355922617
text,Out,14,4,average_length,2,LR,up,0.5953989544304864,0.08442654028553077,0.5708333333333335,0.07479395565464589,0.5685052971624179,0.07780541751659172,0.6466666666666668,0.14846766890240912,0.495,0.16784933921049758,0.5708333333333335,0.07479395565464589
text,Out,14,6,average_length,1,LR,down,0.594868740418356,0.083178229215959,0.5858333333333332,0.07077512958273055,0.5869068913113032,0.07846289091765436,0.6216666666666669,0.13783438068318254,0.5499999999999998,0.15168340825940607,0.5858333333333333,0.07077512958273055
text,Out,14,24,unique_contacts,1,KNN,down,0.5946259734943671,0.1101255370109044,0.6120833333333335,0.09339415256259036,0.6293230184847832,0.11373573892889254,0.5825,0.14433513735157677,0.6416666666666667,0.15957118462605635,0.6120833333333335,0.09339415256259037
text,Out,14,12,average_length,10,KNN,down,0.5945334605564419,0.09403805143092406,0.5729166666666667,0.08507749652677699,0.5682927124904681,0.08436077983182906,0.6391666666666669,0.14460703747119394,0.5066666666666668,0.15245834374306944,0.5729166666666667,0.08507749652677699
text,Out,14,4,combined,2,LR,down,0.5940657048185077,0.07978952965052115,0.5708333333333333,0.07755650342392026,0.5697193845885798,0.07917222165693424,0.6383333333333333,0.13307002620537256,0.5033333333333332,0.16365974393390634,0.5708333333333333,0.07755650342392026
