,modality,direction,day,interval,variable,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
26,text,All,14,12,counts,up,0.5831305322338401,0.046720340560343465,0.5157142857142858,0.046102268084159036,0.583804153771712,0.04104495927551317,0.5850877192982459,0.06518566318598817,0.4192682926829269,0.0817941425695839,0.5021780059905864,0.047313476787712604
27,call,All,14,24,average_length,up,0.5780637402604831,0.06143877851666672,0.5471428571428575,0.05625207570782507,0.6003867042279816,0.05502134640834034,0.5607692307692309,0.07855938970001773,0.5299999999999999,0.0844498408081675,0.5453846153846155,0.056335941811878426
28,text,In,14,12,counts,up,0.5778447446610808,0.05174261519731777,0.5195833333333336,0.047730111881776616,0.5807813084958521,0.04042198634553367,0.5776363636363636,0.07267468254669146,0.4417073170731707,0.07212815588738816,0.5096718403547673,0.04698791481863314
29,text,All,14,6,average_length,up,0.5771489023233969,0.04521352346562997,0.5132653061224488,0.0449255925906473,0.5835751879781338,0.04032778180051135,0.5736842105263159,0.06330441586072443,0.4292682926829267,0.08569079044207699,0.5014762516046212,0.04688179541043671
30,text,In,14,4,average_length,down,0.5741331891627568,0.060931820164790276,0.5407291666666666,0.05086097164278136,0.6109527659253637,0.049248345844117684,0.5458181818181815,0.08277594709302137,0.5339024390243903,0.08290327622276322,0.539860310421286,0.04995502185476496
31,call,All,14,4,average_length,down,0.5738491806932066,0.05779602975562612,0.5551428571428573,0.0556078088627319,0.6172123212817939,0.060350980995228364,0.5407692307692308,0.07416223112661559,0.5732258064516129,0.10106226908353448,0.5569975186104223,0.057463758833768364
32,call,All,14,6,average_length,up,0.573300582212038,0.06090726832082584,0.5442857142857145,0.052851097505389855,0.5983388339207708,0.05131355363056494,0.5543589743589746,0.08179999074639481,0.5316129032258063,0.0829713387556126,0.5429859387923904,0.05245521654641781
33,text,In,14,24,average_length,up,0.5732760677804187,0.05049710245977725,0.5208333333333329,0.04723893049628898,0.5846119282192417,0.042829341975343715,0.5649090909090906,0.06799355704758579,0.4617073170731707,0.07282128925727195,0.5133082039911308,0.04714667740493056
34,text,All,14,4,average_length,down,0.5727687953466855,0.046602780763714366,0.5216326530612246,0.04545576546854723,0.5966392311240899,0.04523843414886728,0.5538596491228074,0.06299696945629413,0.476829268292683,0.08800004315502691,0.5153444587077449,0.04773958744764836
35,text,All,14,6,average_length,down,0.5725363764981624,0.045468570998095134,0.5201020408163268,0.04095664912411976,0.5940458331429752,0.03795851303103456,0.5557894736842109,0.06501875926697823,0.4704878048780487,0.08176475166768568,0.5131386392811297,0.04219132531675611
36,call,All,14,6,unique_contacts,up,0.5710696118692444,0.04667455034621309,0.5278571428571432,0.04380270039088578,0.5784508468680617,0.04149461230293278,0.5669230769230771,0.06518332642430763,0.4787096774193549,0.07937679669289556,0.5228163771712159,0.04464369685212742
37,call,In,14,12,average_length,up,0.5672435400278666,0.06479699157955861,0.5181967213114751,0.06159898161634352,0.5841116335887552,0.05486330263923516,0.5548571428571427,0.08393339920412113,0.4688461538461538,0.0909336677077202,0.5118516483516483,0.0616506109340782
38,text,All,14,24,counts,down,0.5646319032835545,0.050483618120479766,0.5255102040816331,0.04174626073104435,0.6048703329840817,0.04176419310461036,0.532982456140351,0.07003263868847959,0.5151219512195123,0.0796038720779612,0.5240522036799315,0.04191262128493093
39,text,Out,14,4,counts,down,0.5644060139682595,0.09079448864668173,0.5369696969696971,0.0819569388757748,0.656702327385377,0.09233851831008463,0.5040000000000001,0.11093723769352967,0.5876923076923078,0.14066280937003955,0.545846153846154,0.08430876138592469
40,call,All,14,4,unique_contacts,up,0.5642131901187517,0.0521616263456781,0.5117142857142859,0.05045168072749638,0.5610509240738321,0.044234234275139166,0.5705128205128208,0.07117195636723556,0.4377419354838713,0.08494623655913983,0.5041273779983456,0.051208387455963976
41,text,All,14,12,average_length,down,0.5641185706529853,0.05287155384382378,0.5165306122448982,0.04752575010896677,0.5922982243026682,0.04452016187587803,0.5415789473684213,0.07156410008875087,0.4817073170731706,0.0783940840227176,0.5116431322207956,0.047457077750271234
42,text,In,14,12,average_length,up,0.5617314951072079,0.05378576750659452,0.5180208333333335,0.04820026145286535,0.5855277114704424,0.045254032437068825,0.5427272727272727,0.07144764989147374,0.4848780487804877,0.07746145112729537,0.5138026607538803,0.04816442233484322
43,call,All,14,24,average_length,down,0.5617112588814812,0.06354684500500515,0.5437142857142857,0.060671022698308874,0.6049771020584029,0.06334521700092684,0.5282051282051281,0.07875737521935391,0.5632258064516126,0.0969825063276786,0.5457154673283706,0.061740184021131725
44,text,In,14,12,average_length,down,0.5612593514800656,0.056283532960386684,0.5203124999999998,0.05193318002288673,0.5889125573730027,0.04923646686396061,0.539090909090909,0.07329325225725951,0.4951219512195121,0.08118987257026736,0.5171064301552106,0.052120646684887986
45,text,All,14,24,average_length,up,0.5609435050995907,0.05181436716492775,0.5073469387755103,0.04873418214283783,0.5820125818640143,0.04609072634974247,0.5442105263157898,0.06887777697185057,0.4560975609756098,0.08141160226644363,0.5001540436456995,0.04941993734903237
46,call,In,14,6,counts,down,0.5604454855627597,0.0689728948423004,0.531639344262295,0.06117268290387909,0.6075223324951371,0.0650015564985866,0.5259999999999999,0.08888739433911565,0.5392307692307693,0.11014793818503567,0.5326153846153847,0.06262253749969643
47,text,In,14,6,average_length,up,0.5602393924786313,0.04753917318187114,0.5155208333333334,0.04506586459144949,0.5842283777831359,0.043572469457082666,0.5414545454545454,0.06448107861968704,0.4807317073170734,0.08860703636531164,0.5110931263858096,0.04711422896361424
48,text,All,14,12,average_length,up,0.5596837705303763,0.04974172475058845,0.5070408163265308,0.047146141039186816,0.5821707407883174,0.04358169698625832,0.5414035087719301,0.06454556817564255,0.4592682926829266,0.08011365327706581,0.5003359007274283,0.048244980362021565
49,text,Out,14,12,counts,down,0.5595132662242429,0.08799983311271417,0.542121212121212,0.07192896725799086,0.6702622738029088,0.08523393279894853,0.4895000000000001,0.10737807273857404,0.6230769230769229,0.13501716044358586,0.5562884615384617,0.07389527420894647
50,call,All,14,6,average_length,down,0.5583832378586814,0.056331192372023,0.5392857142857144,0.05081788292829965,0.5992428742412387,0.05334321641906909,0.5258974358974359,0.07014940135654832,0.5561290322580643,0.08254459134763442,0.5410132340777503,0.05146425590656044
51,text,Out,14,6,counts,down,0.557955342872941,0.09626880877278744,0.5233333333333335,0.08623371837956126,0.636512927536635,0.09396858511089708,0.5075,0.12234555301862975,0.5476923076923077,0.15042028661807094,0.5275961538461539,0.08804222052619183
